ID Group,Group,ID Industry,Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2017,"2017","04000US48","Texas",22313,2945.79513883773,"Austin, TX","16000US4805000","austin-tx"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2017,"2017","04000US48","Texas",17502,3318.8535671222376,"Austin, TX","16000US4805000","austin-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2017,"2017","04000US48","Texas",963,653.153886920992,"Austin, TX","16000US4805000","austin-tx"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2017,"2017","04000US48","Texas",3421,1155.1528037450282,"Austin, TX","16000US4805000","austin-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2017,"2017","04000US48","Texas",75427,4561.085177893524,"Austin, TX","16000US4805000","austin-tx"
6,"Information (Group)",8,"Information",2017,"2017","04000US48","Texas",19041,2643.342013436778,"Austin, TX","16000US4805000","austin-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2017,"2017","04000US48","Texas",18199,2840.9570570496135,"Austin, TX","16000US4805000","austin-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2017,"2017","04000US48","Texas",20807,2487.2516961497886,"Austin, TX","16000US4805000","austin-tx"
1,"Construction (Group)",2,"Construction",2016,"2016","04000US48","Texas",42818,4589.525901441238,"Austin, TX","16000US4805000","austin-tx"
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2016,"2016","04000US48","Texas",53372,4037.403125772803,"Austin, TX","16000US4805000","austin-tx"
4,"Retail Trade (Group)",5,"Retail Trade",2016,"2016","04000US48","Texas",60380,5674.609061424408,"Austin, TX","16000US4805000","austin-tx"
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2016,"2016","04000US48","Texas",27626,3435.864520029857,"Austin, TX","16000US4805000","austin-tx"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2016,"2016","04000US48","Texas",1559,727.9835162969007,"Austin, TX","16000US4805000","austin-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2016,"2016","04000US48","Texas",24394,2752.2625238156334,"Austin, TX","16000US4805000","austin-tx"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2016,"2016","04000US48","Texas",13855,2491.362077258141,"Austin, TX","16000US4805000","austin-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2016,"2016","04000US48","Texas",14465,2246.04942064951,"Austin, TX","16000US4805000","austin-tx"
2,"Manufacturing (Group)",3,"Manufacturing",2016,"2016","04000US48","Texas",40325,3453.9999999999995,"Austin, TX","16000US4805000","austin-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2016,"2016","04000US48","Texas",542,395.8396139852605,"Austin, TX","16000US4805000","austin-tx"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2016,"2016","04000US48","Texas",2666,770.0551928271116,"Austin, TX","16000US4805000","austin-tx"
12,"Public Administration (Group)",19,"Public Administration",2016,"2016","04000US48","Texas",27063,2723.559619321743,"Austin, TX","16000US4805000","austin-tx"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2016,"2016","04000US48","Texas",1124,680.6614430096654,"Austin, TX","16000US4805000","austin-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2016,"2016","04000US48","Texas",73817,4389.880408393832,"Austin, TX","16000US4805000","austin-tx"
6,"Information (Group)",8,"Information",2016,"2016","04000US48","Texas",18153,2250.995335401653,"Austin, TX","16000US4805000","austin-tx"
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2016,"2016","04000US48","Texas",52837,4006.869226715541,"Austin, TX","16000US4805000","austin-tx"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2016,"2016","04000US48","Texas",12565,2095.5784404311858,"Austin, TX","16000US4805000","austin-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2016,"2016","04000US48","Texas",14731,2511.207677592596,"Austin, TX","16000US4805000","austin-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2016,"2016","04000US48","Texas",23326,2878.0453436316807,"Austin, TX","16000US4805000","austin-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2016,"2016","04000US48","Texas",42693,4539.8349088926125,"Austin, TX","16000US4805000","austin-tx"
4,"Retail Trade (Group)",5,"Retail Trade",2015,"2015","04000US48","Texas",51032,4759.313500915862,"Austin, TX","16000US4805000","austin-tx"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2015,"2015","04000US48","Texas",1302,743.9489229779152,"Austin, TX","16000US4805000","austin-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2015,"2015","04000US48","Texas",24912,2838.942056471037,"Austin, TX","16000US4805000","austin-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2015,"2015","04000US48","Texas",67525,4448.238415372989,"Austin, TX","16000US4805000","austin-tx"
6,"Information (Group)",8,"Information",2015,"2015","04000US48","Texas",17161,2109.94052048867,"Austin, TX","16000US4805000","austin-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2015,"2015","04000US48","Texas",864,546.3808195755045,"Austin, TX","16000US4805000","austin-tx"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2015,"2015","04000US48","Texas",2724,784.4131564424451,"Austin, TX","16000US4805000","austin-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2015,"2015","04000US48","Texas",27511,3646.3584574202246,"Austin, TX","16000US4805000","austin-tx"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2015,"2015","04000US48","Texas",12567,1857.8708243578183,"Austin, TX","16000US4805000","austin-tx"
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2015,"2015","04000US48","Texas",51390,3535.568553995242,"Austin, TX","16000US4805000","austin-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2015,"2015","04000US48","Texas",15159,2093.2008981461863,"Austin, TX","16000US4805000","austin-tx"
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2015,"2015","04000US48","Texas",52104,4212.504243321306,"Austin, TX","16000US4805000","austin-tx"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2015,"2015","04000US48","Texas",10573,1898.6640039775336,"Austin, TX","16000US4805000","austin-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2015,"2015","04000US48","Texas",13090,1961.4140307441464,"Austin, TX","16000US4805000","austin-tx"
2,"Manufacturing (Group)",3,"Manufacturing",2015,"2015","04000US48","Texas",35522,3180.5892535817948,"Austin, TX","16000US4805000","austin-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2015,"2015","04000US48","Texas",48195,4124.081109774637,"Austin, TX","16000US4805000","austin-tx"
1,"Construction (Group)",2,"Construction",2015,"2015","04000US48","Texas",39977,5039.508904645371,"Austin, TX","16000US4805000","austin-tx"
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2015,"2015","04000US48","Texas",27570,3214.897821082344,"Austin, TX","16000US4805000","austin-tx"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2015,"2015","04000US48","Texas",2230,839.867251415365,"Austin, TX","16000US4805000","austin-tx"
12,"Public Administration (Group)",19,"Public Administration",2015,"2015","04000US48","Texas",28766,2966.2644858474773,"Austin, TX","16000US4805000","austin-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2014,"2014","04000US48","Texas",13691,2069.136293239283,"Austin, TX","16000US4805000","austin-tx"
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2014,"2014","04000US48","Texas",49362,3806.9541631072993,"Austin, TX","16000US4805000","austin-tx"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2014,"2014","04000US48","Texas",1353,715.6144213191906,"Austin, TX","16000US4805000","austin-tx"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2014,"2014","04000US48","Texas",2868,853.6398538025272,"Austin, TX","16000US4805000","austin-tx"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2014,"2014","04000US48","Texas",9314,1695.6924839132832,"Austin, TX","16000US4805000","austin-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2014,"2014","04000US48","Texas",10772,1794.4024074883537,"Austin, TX","16000US4805000","austin-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2014,"2014","04000US48","Texas",22693,2568.551537345513,"Austin, TX","16000US4805000","austin-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2014,"2014","04000US48","Texas",23055,2470.405837104503,"Austin, TX","16000US4805000","austin-tx"
2,"Manufacturing (Group)",3,"Manufacturing",2014,"2014","04000US48","Texas",35173,3390.829544521517,"Austin, TX","16000US4805000","austin-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2014,"2014","04000US48","Texas",45211,4480.661223524938,"Austin, TX","16000US4805000","austin-tx"
6,"Information (Group)",8,"Information",2014,"2014","04000US48","Texas",15138,2043.5263639111681,"Austin, TX","16000US4805000","austin-tx"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2014,"2014","04000US48","Texas",12814,2403.5893992111046,"Austin, TX","16000US4805000","austin-tx"
1,"Construction (Group)",2,"Construction",2014,"2014","04000US48","Texas",33731,3079.3518798604355,"Austin, TX","16000US4805000","austin-tx"
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2014,"2014","04000US48","Texas",24772,2855.858014677901,"Austin, TX","16000US4805000","austin-tx"
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2014,"2014","04000US48","Texas",56249,3620.4006684343653,"Austin, TX","16000US4805000","austin-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2014,"2014","04000US48","Texas",679,515.097078228949,"Austin, TX","16000US4805000","austin-tx"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2014,"2014","04000US48","Texas",1965,790.4327928419974,"Austin, TX","16000US4805000","austin-tx"
12,"Public Administration (Group)",19,"Public Administration",2014,"2014","04000US48","Texas",27129,2470.6262364024224,"Austin, TX","16000US4805000","austin-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2014,"2014","04000US48","Texas",63053,3992.5997795922394,"Austin, TX","16000US4805000","austin-tx"
4,"Retail Trade (Group)",5,"Retail Trade",2014,"2014","04000US48","Texas",53832,4204.071003206297,"Austin, TX","16000US4805000","austin-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2013,"2013","04000US48","Texas",11015,1737.385679692336,"Austin, TX","16000US4805000","austin-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2013,"2013","04000US48","Texas",21663,2909.255746750361,"Austin, TX","16000US4805000","austin-tx"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2013,"2013","04000US48","Texas",2219,731.2079047712764,"Austin, TX","16000US4805000","austin-tx"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2013,"2013","04000US48","Texas",3750,1497.571701121519,"Austin, TX","16000US4805000","austin-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2013,"2013","04000US48","Texas",60187,4125.176965900979,"Austin, TX","16000US4805000","austin-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2013,"2013","04000US48","Texas",45900,4425.789873005721,"Austin, TX","16000US4805000","austin-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2013,"2013","04000US48","Texas",21748,2485.3543006983937,"Austin, TX","16000US4805000","austin-tx"
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2013,"2013","04000US48","Texas",52255,4126.908770496388,"Austin, TX","16000US4805000","austin-tx"
1,"Construction (Group)",2,"Construction",2013,"2013","04000US48","Texas",35756,3740.748721847004,"Austin, TX","16000US4805000","austin-tx"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2013,"2013","04000US48","Texas",1069,495.6652095921197,"Austin, TX","16000US4805000","austin-tx"
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2013,"2013","04000US48","Texas",29808,3501.3006154856225,"Austin, TX","16000US4805000","austin-tx"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2013,"2013","04000US48","Texas",11129,2292.573444843152,"Austin, TX","16000US4805000","austin-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2013,"2013","04000US48","Texas",344,314.226033294506,"Austin, TX","16000US4805000","austin-tx"
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2013,"2013","04000US48","Texas",44222,3257.0773708955703,"Austin, TX","16000US4805000","austin-tx"
2,"Manufacturing (Group)",3,"Manufacturing",2013,"2013","04000US48","Texas",34409,3333.601355891253,"Austin, TX","16000US4805000","austin-tx"
12,"Public Administration (Group)",19,"Public Administration",2013,"2013","04000US48","Texas",27913,3073.1915007041134,"Austin, TX","16000US4805000","austin-tx"
6,"Information (Group)",8,"Information",2013,"2013","04000US48","Texas",15588,2562.3379948788956,"Austin, TX","16000US4805000","austin-tx"
4,"Retail Trade (Group)",5,"Retail Trade",2013,"2013","04000US48","Texas",51960,4073.5991457186847,"Austin, TX","16000US4805000","austin-tx"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2013,"2013","04000US48","Texas",8539,2203.4520643753517,"Austin, TX","16000US4805000","austin-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2013,"2013","04000US48","Texas",13258,1997.7111903375821,"Austin, TX","16000US4805000","austin-tx"
