,Industry,ID Group,Group,ID Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
36,Manufacturing,2,Manufacturing (Group),3,2014,2014,04000US48,Texas,35173,3390.8295445215167,"Austin, TX",16000US4805000,austin-tx
37,Accommodation & Food Services,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,2014,2014,04000US48,Texas,45211,4480.661223524938,"Austin, TX",16000US4805000,austin-tx
38,Information,6,Information (Group),8,2014,2014,04000US48,Texas,15138,2043.526363911168,"Austin, TX",16000US4805000,austin-tx
39,Transportation & Warehousing,5,"Transportation & Warehousing, & Utilities",6,2014,2014,04000US48,Texas,12814,2403.589399211105,"Austin, TX",16000US4805000,austin-tx
40,Construction,1,Construction (Group),2,2014,2014,04000US48,Texas,33731,3079.351879860436,"Austin, TX",16000US4805000,austin-tx
41,Educational Services,9,"Educational Services, & Health Care & Social Assistance",14,2014,2014,04000US48,Texas,56249,3620.4006684343653,"Austin, TX",16000US4805000,austin-tx
42,"Professional, Scientific, & Technical Services",8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,2014,2014,04000US48,Texas,63053,3992.59977959224,"Austin, TX",16000US4805000,austin-tx
43,Retail Trade,4,Retail Trade (Group),5,2014,2014,04000US48,Texas,53832,4204.071003206297,"Austin, TX",16000US4805000,austin-tx
44,"Arts, Entertainment, & Recreation",10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,2013,2013,04000US48,Texas,11015,1737.3856796923362,"Austin, TX",16000US4805000,austin-tx
45,"Professional, Scientific, & Technical Services",8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,2013,2013,04000US48,Texas,60187,4125.176965900979,"Austin, TX",16000US4805000,austin-tx
46,Accommodation & Food Services,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,2013,2013,04000US48,Texas,45900,4425.78987300572,"Austin, TX",16000US4805000,austin-tx
47,Educational Services,9,"Educational Services, & Health Care & Social Assistance",14,2013,2013,04000US48,Texas,52255,4126.908770496388,"Austin, TX",16000US4805000,austin-tx
48,Construction,1,Construction (Group),2,2013,2013,04000US48,Texas,35756,3740.7487218470037,"Austin, TX",16000US4805000,austin-tx
49,Transportation & Warehousing,5,"Transportation & Warehousing, & Utilities",6,2013,2013,04000US48,Texas,11129,2292.5734448431517,"Austin, TX",16000US4805000,austin-tx
50,Health Care & Social Assistance,9,"Educational Services, & Health Care & Social Assistance",15,2013,2013,04000US48,Texas,44222,3257.0773708955708,"Austin, TX",16000US4805000,austin-tx
51,Manufacturing,2,Manufacturing (Group),3,2013,2013,04000US48,Texas,34409,3333.601355891253,"Austin, TX",16000US4805000,austin-tx
52,Information,6,Information (Group),8,2013,2013,04000US48,Texas,15588,2562.337994878896,"Austin, TX",16000US4805000,austin-tx
53,Retail Trade,4,Retail Trade (Group),5,2013,2013,04000US48,Texas,51960,4073.599145718685,"Austin, TX",16000US4805000,austin-tx
54,Real Estate & Rental & Leasing,7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,2013,2013,04000US48,Texas,13258,1997.7111903375821,"Austin, TX",16000US4805000,austin-tx
